,Estimated.Data.Flag...Natural.Gas,Borough,Estimated.Data.Flag...Electricity..Grid.Purchase.,Property.Type,Multifamily.Housing.Government.Subsidized.Housing,Metered.Areas.Energy,Occupancy100,number.of.energy.meters.cat,Multifamily.Housing.Resident.Population.Type,ENERGY.STAR.Score,Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..,Year.Built,Latitude,Multifamily.Housing.Percent.That.Can.Be.Cooled,Property.GFA.Calculated.Buildings.and.Parking.ft,Electricity.Use...Grid.Purchase.and.Generated.from.Onsite.Renewable.Systems..kBtu.,Longitude,Site.EUI.kBtu.ft,Multifamily.Housing.Percent.That.Can.Be.Heated,Multifamily.Housing.Gross.Floor.Area.ft,Percent.of.Electricity.Green.Power
8343,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,49,0.8,2002,40.849192,0.0,82015,1677925.4,-73.869089,92.1,100.0,82015,0
8345,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,73,0.6,2011,40.665426,100.0,117946,1803705,-73.884913,77.7,100.0,88493,0
8346,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,80,0.7,1937,40.652243,90.0,67489,794053.3,-73.957521,73.2,100.0,67489,0
8347,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,10,1.3,1959,40.849346,90.0,299200,4811728.6,-73.887649,137.9,100.0,299200,0
8351,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,29,0,1929,40.735831,90.0,139000,3002073.4,-73.983668,88.3,100.0,139000,0
8352,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,16,0.6,1900,40.799563,0.0,65018,2234776.7,-73.939762,90.1,100.0,65018,0
8353,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,100,0,1939,40.877059,90.0,58808,864226.2,-73.909248,18.3,90.0,58808,0
8354,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,88,0.2,1938,40.851105,90.0,65354,1138760.5,-73.928444,38.9,90.0,65354,0
8355,No,BRONX,No,Multifamily Housing,No,Whole Property,True,25,No specific resident population,100,0.1,1939,40.839449,90.0,61405,756157.5,-73.845197,19.3,90.0,61405,0
8356,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,53,0.7,1930,40.589555,0.0,52500,526435.4,-73.949557,78.1,100.0,52500,0
8357,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,41,0.8,1930,40.589374,0.0,52500,497583.9,-73.949521,86.1,100.0,52500,0
8358,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,98,0.3,1989,40.580533,80.0,170765,2756582.4,-73.97615,41.5,80.0,170765,0
8359,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,77,0.8,1900,40.760411,100.0,32520,519324.5,-73.989409,86.5,100.0,32520,0
8360,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,4,1.3,2006,40.824057,90.0,84351,2147092.8,-73.913421,158.1,90.0,84351,0
8361,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,48,0.8,2001,40.833236,90.0,77768,1783885.7,-73.89482,94.9,90.0,77768,0
8362,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,91,0.5,1924,40.789537,90.0,96330,1082994.4,-73.979426,55.9,100.0,96330,0
8363,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,49,0.7,1920,40.576498,90.0,63815,1112860.3,-73.96411,78.4,100.0,63815,0
8364,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,27,0.7,2006,40.784795,100.0,535663,14175263.2,-73.948369,91,100.0,438924,0
8366,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,21,0.8,1928,40.651555,90.0,37994,497628.6,-73.960221,88.8,100.0,37994,0
8367,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,47,0.7,1900,40.629762,90.0,29391,679852.6,-74.030612,91.3,100.0,29391,0
8368,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,9,0,1967,40.763283,0.0,243000,5573212,-73.964879,96.3,100.0,243000,0
8369,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,55,0.8,1928,40.611846,90.0,84987,1343742.5,-73.978444,87.8,100.0,84987,0
8371,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,39,0.6,1959,40.73589,90.0,38758,917347.2,-73.997485,82.1,100.0,38758,0
8373,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,78,0.3,2011,40.65606,100.0,63210,1464544.7,-73.87372,55.5,100.0,58542,0
8374,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,46,0.5,2013,40.65639,100.0,46878,1428687.7,-73.873986,76,100.0,40163,0
8375,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,90,0.4,1971,40.593572,100.0,748461,10934886.8,-73.753179,51.8,100.0,737353,0
8378,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,81,0.8,1920,40.842052,90.0,57195,555113.6,-73.940189,84.3,100.0,57195,0
8380,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,91,0.1,1942,40.708976,90.0,58810,595471.8,-73.792013,60.9,100.0,58810,0
8381,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,69,0.7,1961,40.744069,0.0,77000,1065369.7,-73.874149,78,100.0,77000,0
8385,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,26,1.1,1930,40.85509,100.0,65862,914275.8,-73.863843,114.3,100.0,65862,0
8387,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,32,0.9,1930,40.856018,100.0,65862,832813.6,-73.863812,107.6,100.0,65862,0
8388,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,25,0.4,1969,40.783752,90.0,356687,8750248,-73.776303,86.3,100.0,356687,0
8389,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,100,0,1916,40.838963,100.0,31950,508835.7,-73.913637,20.4,100.0,31950,0
8390,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,50,0.5,1961,40.780347,90.0,399300,7953215,-73.783839,67,100.0,399300,0
8391,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,1,0.9,2006,40.694243,100.0,49823,2419037,-73.963221,130.9,100.0,49823,0
8393,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,72,0.4,1961,40.780637,90.0,538384,9102902.1,-73.779036,55.3,100.0,538384,0
8394,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,12,0,2016,40.712427,100.0,715320,31019498.5,-74.009011,95.5,100.0,479788,0
8395,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,Dedicated Senior/Independent Living,44,0,1963,40.861793,90.0,201960,3572787.1,-73.869411,89.1,100.0,201960,0
8396,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,78,0.7,1941,40.674244,90.0,80190,909075.2,-73.97148,70.6,100.0,80190,0
8399,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,53,0.9,1941,40.653121,0.0,51156,725445.8,-73.956079,101.1,100.0,51156,0
8400,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,48,0.8,1961,40.611229,90.0,80892,831561,-73.959708,83.6,100.0,80892,0
8402,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,64,0.8,1963,40.651944,90.0,36390,615375.7,-73.964751,90.1,100.0,36390,0
8403,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,25,0.4,1917,40.767071,80.0,114041,2444070.2,-73.96678,61.9,100.0,114041,0
8405,No,QUEENS,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,87,0.6,2012,40.75474,90.0,52102,664641.2,-73.821467,65.1,100.0,48124,0
8409,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,61,0.8,1962,40.754562,90.0,305089,3587410.9,-73.823626,86.1,100.0,305089,0
8414,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,Dedicated Senior/Independent Living,82,0.6,1983,40.740643,90.0,131283,1891130,-73.861298,74.2,100.0,131283,0
8416,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0,1921,40.751946,10.0,163681,2769989.9,-73.990796,18.2,10.0,163681,0
8417,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,28,0,1900,40.739109,10.0,98146,4039514.6,-73.989773,44.5,10.0,98146,0
8418,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,5,No specific resident population,100,0,1912,40.746084,10.0,115925,1756211.3,-73.992515,15.2,10.0,115925,0
8419,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,100,0,1912,40.745225,10.0,92970,1298595.9,-73.992396,14,10.0,92970,0
8420,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,16,0,1931,40.824776,90.0,61500,924679,-73.877342,119.5,90.0,61500,0
8421,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,5,0,1920,40.824416,90.0,66600,1912490.1,-73.877256,129.4,90.0,66600,0
8422,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,13,0,1937,40.850302,90.0,65000,973422.8,-73.903942,136,90.0,65000,0
8423,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,74,0.4,1950,40.73001,90.0,167717,3380370.1,-73.832895,54.1,100.0,167717,0
8425,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,93,0.4,2008,40.764504,0.0,36155,561404.7,-73.831531,57.6,100.0,19505,0
8426,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,84,0.6,1949,40.721494,90.0,88310,1081042.4,-73.841131,66.5,100.0,88310,0
8428,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,11,0.3,2013,40.790501,90.0,55406,2660110.5,-73.947538,72.1,100.0,55406,0
8429,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,27,0.1,2012,40.737411,90.0,98024,5009426.7,-73.877286,59,100.0,64696,0
8430,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,9,0.6,1958,40.664076,90.0,85672,2593683.7,-73.847248,82.2,100.0,85672,0
8431,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,Dedicated Senior/Independent Living,98,0.2,1959,40.859783,90.0,245520,3775784,-73.927036,37.6,100.0,245520,0
8434,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,48,0.6,2008,40.853671,90.0,65028,1442836.5,-73.905144,79,100.0,65028,0
8436,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,48,0.8,1963,40.670744,90.0,59795,1328946,-73.958421,90.5,100.0,55314,0
8438,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,43,0,1949,40.769598,90.0,110285,1864070.8,-73.964912,64.7,90.0,110285,0
8440,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,23,0.9,1961,40.617482,90.0,57567,1000940.6,-74.037943,101.2,100.0,57567,0
8443,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,98,0.2,2008,40.723546,100.0,318000,5478419.8,-74.010585,34.4,100.0,278900,0
8444,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,24,0,2006,40.737975,0.0,103784,3994141.8,-73.988009,66,100.0,98231,0
8445,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,17,0.7,1962,40.768201,0.0,194949,5274099,-73.956917,93.6,100.0,179407,0
8446,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,75,0.2,1930,40.773183,90.0,34374,1090721.2,-73.95678,50.2,100.0,34374,0
8447,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,65,0.5,2000,40.576221,100.0,160210,2873145.9,-73.958844,71.4,100.0,160210,0
8451,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0,1925,40.846803,90.0,46800,64597.8,-73.894137,21.3,100.0,46800,0.00E+00
8454,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,15,No specific resident population,95,0.1,1924,40.876725,90.0,36000,360143.8,-73.874278,72,100.0,36000,0
8458,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,59,0.5,2007,40.634482,100.0,113887,1842690.9,-73.958059,68.5,100.0,92771,0
8459,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,100,0,1925,40.8698,90.0,86465,703925.3,-73.917635,12.4,100.0,86465,0
8460,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,76,0.1,1922,40.866413,90.0,160500,2018332.1,-73.894132,72.1,100.0,160500,0
8461,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,75,0,1941,40.72675,90.0,69477,815372.1,-73.858058,75.9,100.0,69477,0
8463,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.1,1939,40.743913,90.0,70620,668901.8,-73.879144,15,100.0,70620,0
8465,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,61,0.6,1978,40.740667,42.28,391886,7407803.4,-73.979737,75.6,80.76,354929,0
8466,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,44,0.3,2012,40.690392,100.0,97679,2675438.9,-73.953476,51.9,100.0,97679,0
8467,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,90,0,1930,40.767093,100.0,71166,761207.3,-73.917921,64.8,100.0,71166,0
8470,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,33,1.2,1920,40.800846,90.0,27510,389880.7,-73.95427,126.8,100.0,27510,0
8471,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,42,0.8,1928,40.858962,100.0,61572,972597.4,-73.895083,93.7,100.0,61572,0
8472,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,81,0.6,1940,40.777586,0.0,71005,1030878.1,-73.945042,64.9,100.0,71005,0
8473,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,75,0.6,1915,40.718051,90.0,25500,498381.6,-74.008932,73.2,100.0,20500,0
8474,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,90,0.4,2006,40.836584,0.0,66778,1206728.9,-73.847763,53.5,100.0,66778,0
8476,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,53,0.5,2005,40.739786,10.0,96425,2539689.4,-73.985378,73.7,100.0,87315,0
8477,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,91,0.5,1928,40.884815,50.0,60290,772465.9,-73.878338,58.8,100.0,60290,0
8478,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,5,Other dedicated housing,80,0.5,2012,40.808426,90.0,127884,2399048.9,-73.935274,63.6,100.0,127884,0
8479,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,99,0,1972,40.71622,0.0,231417,5500782,-73.983991,23.9,100.0,231417,0
8480,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,91,0.2,1929,40.705634,100.0,786942,16226267.6,-74.009378,44.6,100.0,648841,0
8481,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,45,0.7,2005,40.7484,90.0,313097,6664328.6,-74.005836,89.9,90.0,284533,0
8483,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,87,0,1987,40.742007,90.0,150100,2778403.9,-73.986705,57.6,90.0,114290,0
8485,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,57,0.8,1900,40.805272,0.0,103528,2201925,-73.957377,97.1,100.0,103528,0
8486,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,59,0.7,1951,40.629334,90.0,66859,884953.7,-73.971431,77.8,100.0,66859,0
8487,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,42,0,1937,40.871055,0.0,50117,548446.9,-73.917753,104,100.0,50117,0
8488,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,79,0.7,1936,40.609149,100.0,55080,464101.9,-73.960257,74.1,100.0,55080,0
8489,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,5,No specific resident population,86,0.3,2015,40.67816,90.0,60710,1455053.9,-73.966749,50.3,100.0,60710,0
8496,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,71,0.7,1940,40.77819,0.0,70995,944500.6,-73.944576,72.1,100.0,70995,0
