,Estimated.Data.Flag...Natural.Gas,Borough,Estimated.Data.Flag...Electricity..Grid.Purchase.,Property.Type,Multifamily.Housing.Government.Subsidized.Housing,Metered.Areas.Energy,Occupancy100,number.of.energy.meters.cat,Multifamily.Housing.Resident.Population.Type,ENERGY.STAR.Score,Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..,Year.Built,Latitude,Multifamily.Housing.Percent.That.Can.Be.Cooled,Property.GFA.Calculated.Buildings.and.Parking.ft,Electricity.Use...Grid.Purchase.and.Generated.from.Onsite.Renewable.Systems..kBtu.,Longitude,Site.EUI.kBtu.ft,Multifamily.Housing.Percent.That.Can.Be.Heated,Multifamily.Housing.Gross.Floor.Area.ft,Percent.of.Electricity.Green.Power
14240,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,82,0.3,1898,40.707294,71.36,317135,6282252.9,-74.01209,48.9,80.91,310188,0
14241,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,56,0.8,1900,40.731619,100,97290,2540672.8,-74.005975,95.7,100,97290,0
14242,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,64,0.6,1909,40.732451,100,43010,775223.5,-73.993166,71.3,100,37510,0
14243,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,5,No specific resident population,70,0.6,2005,40.644025,60,73312,1451197,-73.994955,75.1,80,73312,0
14244,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,60,0.4,2015,40.81014,100,76405,2191152.3,-73.947461,64.1,100,59562,0
14248,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,62,0.9,1961,40.607145,0,78590,971632.2,-73.95988,92,90,72408,0
14250,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,89,0.1,2015,40.716818,100,42528,1056582.4,-73.953079,42.3,100,33436,0
14253,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,72,0.3,2006,40.792888,100,37472,985612.2,-73.940772,57.3,100,32483,0
14258,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,29,0.9,1963,40.76616,90,57110,703358.2,-73.745229,100.5,90,36650,0
14260,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,91,0.5,1927,40.783694,80,65692,820610.2,-73.953689,58.5,80,65692,0
14261,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,93,0.4,1940,40.760141,90,109470,1661909.1,-73.969343,49.9,90,107595,0
14265,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,32,0,1937,40.769145,100,29480,317140,-73.924677,105.4,100,29480,0.00E+00
14268,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,84,0.6,1941,40.746846,0,93100,939661.4,-73.922717,65.5,90,93100,0
14269,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,5,No specific resident population,75,0,2018,40.684037,60,147071,4442181.7,-73.979427,33.4,80,147071,0
14271,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,86,0.6,1941,40.74472,0,75859,734188,-73.921222,62.9,90,75859,0
14272,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0,1907,40.773819,90,27152,322670.1,-73.987919,13.5,100,27152,0.00E+00
14274,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,61,0.7,1920,40.835072,0,62110,748084.4,-73.94536,73.6,90,62110,0
14275,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,94,0.6,1928,40.670229,100,215075,1592341.8,-73.972163,66.5,100,213800,0
14276,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,23,1.1,1922,40.860648,0,31374,519874.2,-73.908081,121.2,90,31374,0
14277,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,48,0,1927,40.789844,100,44256,708203.2,-73.978018,86,100,44256,0
14280,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,16,0.3,2008,40.77894,100,201315,11578898.4,-73.982423,87.7,100,176315,0
14281,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,66,0.7,1939,40.609505,0,75530,671651.2,-73.960304,76.8,90,75530,0
14282,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,28,0.9,1938,40.643967,0,59934,1055628.8,-73.974243,97.1,90,59934,0
14283,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,64,0.8,1963,40.586239,0,95224,1027740.5,-73.93918,85.9,90,87526,0
14284,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,79,0.7,1940,40.861107,90,42190,627727.1,-73.928969,83.5,100,42190,0
14286,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,39,0.1,1964,40.822347,30,328071,5954632.6,-73.879612,111.3,100,328071,0
14293,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,62,0.7,1935,40.871848,0,42353,437458.3,-73.888179,78.1,90,42353,0
14296,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,Other dedicated housing,53,0.8,1998,40.849329,60,56340,1263427.8,-73.890233,94.6,100,56340,0
14297,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,79,0,1900,40.797327,0,36664,430691.6,-73.960567,95.9,90,36664,0
14298,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,21,1,1924,40.865854,0,43176,1070095.3,-73.923042,120.5,90,43176,0
14299,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,73,0.8,1941,40.640127,0,40200,401186.7,-73.973502,84.9,90,40200,0
14300,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,74,0.3,2007,40.66423,100,46900,1187496.4,-73.958415,49.2,100,46900,0
14302,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,49,0,1927,40.852001,100,39708,507410.1,-73.93996,92.4,100,39708,0
14303,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,76,0,1901,40.782759,100,40916,552139.4,-73.975308,89.4,100,40916,0
14304,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,1,0.7,1923,40.610305,0,41000,2087173.6,-73.955675,112.3,100,41000,0
14306,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,5,0.3,2007,40.675927,100,43348,2194272.6,-73.983355,77.5,100,43348,0
14307,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,53,0.7,1965,40.720027,0,80200,1123539.5,-73.813198,77.5,100,80200,0
14309,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,82,0.7,1890,40.700172,100,39280,533445.4,-73.995207,77.8,100,39280,0
14311,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,79,0.7,1972,40.875121,50,461475,4085682.3,-73.912461,73.9,80,461475,0
14312,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,Dedicated Senior/Independent Living,96,0.3,2016,40.904171,30,68916,1241305.7,-73.896408,45.3,90,65619,0
14314,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,71,0.7,1923,40.87185,90,82632,884423.2,-73.888146,76.8,100,82632,0
14315,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,76,0.9,1925,40.800085,100,27465,452154.1,-73.966955,98.7,100,27465,0
14317,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,67,0,1925,40.800021,0,33750,384363.8,-73.966803,76.9,100,33750,0
14319,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,87,0.3,2003,40.606196,100,47528,997181.9,-73.987791,50.1,100,47528,0
14320,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,52,0.6,2006,40.761463,100,518416,11522269.4,-73.999816,76.1,100,467344,0
14322,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,46,0,1924,40.755577,100,43796,612979.4,-73.972102,105.8,100,43796,0
14323,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,Dedicated Senior/Independent Living,72,0.7,1905,40.776911,100,58491,1289458.9,-73.979694,93.1,100,56991,0
14325,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,47,0.9,1909,40.824658,100,48979,1436417.2,-73.952215,114.8,100,46204,0
14332,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,33,0.9,1927,40.832955,90,65667,1055506,-73.925212,97.3,100,65667,0
14338,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,71,0.8,1924,40.84593,90,423750,5483172.7,-73.910096,84.8,100,422750,0
14341,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,18,0.5,1999,40.722495,100,62700,2111071.3,-73.996064,78.8,100,51539,0
14344,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,32,0.4,1919,40.752911,100,68874,2629077,-73.930358,79.1,100,68874,0
14347,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,40,0.8,1927,40.854459,90,75420,1380418.8,-73.915981,95.3,100,75420,0
14351,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,49,0.7,1985,40.8079,90,119160,2850349.3,-73.91601,88.8,90,119160,0
14352,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.2,2009,40.607365,90,40023,710580.7,-73.988184,38.8,100,40023,0
14354,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,15,Dedicated Senior/Independent Living,27,1,1926,40.847288,0,45500,716729.8,-73.92127,112.5,100,45500,0
14357,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,71,0.7,1922,40.865944,90,60587,715301.6,-73.891005,77.4,100,60587,0
14362,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,90,0.4,1981,40.706775,90,61000,1102951.5,-73.941144,57.3,100,61000,0
14365,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,42,0.8,1920,40.817088,100,43750,715315.2,-73.90378,89.4,100,43750,0
14366,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,78,0.6,2003,40.724938,100,36047,617920.4,-73.988325,81.7,100,36047,0
14367,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,17,1.1,1930,40.634538,0,42000,472688.9,-73.969127,106.9,90,42000,0
14368,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,10,1,1900,40.709567,60,63146,1847299.4,-74.009486,119.5,100,53562,0
14369,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,25,0.6,2009,40.582441,90,62468,1306075,-73.957616,74.7,90,62468,0
14370,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,20,No specific resident population,5,1.4,1923,40.871419,90,76860,968011,-73.902443,145.3,100,76860,0
14372,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,96,0.6,1925,40.843686,90,71582,630955.2,-73.942783,59.3,100,71582,0
14373,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,15,No specific resident population,20,1.1,1928,40.838637,90,72000,1317359.9,-73.909698,117.3,100,72000,0
14374,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,15,No specific resident population,81,0.6,1927,40.812269,90,59240,1035315.1,-73.903643,71.2,100,57202,0
14376,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,55,0.4,2005,40.827874,100,68306,989351.7,-73.905857,56.5,100,68306,0
14377,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,78,0.5,1910,40.819335,100,103248,1721434.5,-73.937659,65.5,100,103248,0
14384,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,87,0.5,1930,40.635071,100,98970,1990268.7,-73.984886,64.9,100,98970,0
14388,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,28,0,1957,40.767258,90,243717,4778386.6,-73.960675,78.4,100,243717,0
14389,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,23,0.4,2010,40.732977,90,65155,2188056.9,-73.986841,69.3,100,65155,0
14395,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,93,0,2015,40.677008,90,80963,2484823.1,-73.922967,34.1,90,80963,0
14398,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,48,0.9,1927,40.615323,0,38125,317527.1,-73.997875,88.3,90,38125,0.00E+00
14406,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,28,0.7,1964,40.733663,80,184646,7113214.8,-73.989864,105.7,80,155062,0
14407,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,63,0.7,1926,40.782532,90,75723,1003780.4,-73.97684,78.3,90,75723,0
14408,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,70,0.7,1928,40.82977,0,52536,1021500.6,-73.87562,85.2,90,52536,0
14411,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,55,0.6,1971,40.748409,80,168363,4055939.9,-73.974773,80.8,80,152955,0
14416,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,33,0.6,1905,40.784256,20,45640,1271644.9,-73.978814,78.9,100,45640,0
14421,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,66,0.8,1934,40.751328,80,52122,645263.8,-73.892189,87.4,80,52122,0
14424,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,68,0.4,1972,40.850626,100,209000,5688551.2,-73.885409,66.9,100,190000,0
14425,No,STATEN IS,No,Multifamily Housing,Yes,Whole Property,True,15,No specific resident population,51,0.8,1968,40.612889,70,429240,6865404.6,-74.082977,87.9,90,429240,0
14426,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,25,No specific resident population,27,0.1,1926,40.845509,90,161180,2028004.1,-73.938881,106.9,100,124461,0
14429,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,78,0.2,2017,40.684159,100,64478,1174869,-73.912683,41,100,55636,0
14433,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,5,0.1,1986,40.718768,100,30812,1512618.1,-73.988885,59.6,100,30812,0
14434,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,83,0.7,1976,40.606595,90,74970,761156.5,-73.958829,79.1,100,74970,0
14438,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,53,0.8,1920,40.866823,90,45750,810388.2,-73.922997,95.1,90,40750,0
14440,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,90,0.7,1931,40.797587,90,79136,1237701,-73.967801,76.2,90,78636,0
14443,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,78,0.4,1912,40.787519,0,85127,1659016.1,-73.978835,58.4,100,85127,0
14444,No,BRONX,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,78,0.1,1927,40.85978,90,88374,990636.7,-73.870767,73.7,100,88374,0
14445,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.1,1932,40.804985,0,89273,1295596.8,-73.962412,20.2,100,89273,0
14452,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,30,0.8,1929,40.813095,70,83725,1638537.3,-73.907171,92.8,100,83725,0
14453,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,7,0.6,1930,40.845564,0,89614,2324398.7,-73.938975,117.3,100,88535,0
14454,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,78,0,1926,40.870743,0,88153,963332.5,-73.889999,62.7,100,88153,0
14456,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,81,0.7,1928,40.742766,0,40000,38187.2,-73.925428,68.6,100,40000,0.00E+00
14463,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,46,1,1924,40.831527,0,56500,510821.4,-73.928863,99,90,56500,0
14467,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,59,0.1,1963,40.74586,0,31838,549772.1,-73.914346,87.8,100,27288,0
14468,Yes,BROOKLYN,Yes,Multifamily Housing,No,Whole Property,True,5,No specific resident population,97,0.7,1928,40.629269,0,28000,22058.6,-74.003815,64.2,100,28000,0
14471,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,28,0.6,2006,40.695838,90,35048,1272337.5,-73.955438,89.1,90,35048,0
14477,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,34,0.4,2007,40.719221,0,214885,7284415.3,-73.964188,65.7,100,214885,0
14483,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,96,0.3,1931,40.619105,90,138056,1816110.4,-74.025618,44.6,100,138056,0
14484,No,BRONX,Yes,Multifamily Housing,No,Whole Property,True,15,No specific resident population,64,0.7,1969,40.821223,100,1069698,17018005.1,-73.87651,78.7,100,1069698,0
14485,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,80,0.5,1923,40.670103,0,35360,381338.4,-73.937835,57.8,90,35360,0
14487,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,5,No specific resident population,50,0.8,1930,40.626691,90,60990,546318.2,-73.947724,81.9,100,60990,0
14488,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,99,0.5,1909,40.780374,90,118168,1472537,-73.975764,53.5,90,118168,0
14489,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,46,0.6,2000,40.884763,100,114620,2219611.4,-73.898735,77.1,100,111620,0
14492,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0,1963,40.734497,90,123277,1992445.2,-73.823246,20.2,100,123277,0
14493,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,75,0,1926,40.874964,100,25250,333872.6,-73.875821,68.9,100,25250,0.00E+00
14495,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,91,0.3,2007,40.803819,90,138087,2055873.6,-73.956016,43.2,100,113340,0
14496,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,68,0,1937,40.771002,90,69540,995281.4,-73.967666,59.1,90,69540,0
14497,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,False,10,No specific resident population,83,0,2013,40.69415,0,65479,2154394.5,-73.992005,32.9,100,65479,0
14499,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,34,0,1937,40.770365,90,66878,1166343.1,-73.96806,76.4,90,66878,0
14502,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,46,0.2,2006,40.703197,100,90606,2824742.6,-73.989241,49.2,100,90606,0
14503,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,95,0.2,2016,40.737431,90,42173,879297,-73.953743,35.2,100,42173,0
14506,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,22,1.2,1963,40.633473,90,44000,716152.5,-73.946753,129.4,100,44000,0
14507,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,96,0.1,2017,40.749261,100,517632,11118271.5,-73.936613,34.4,100,474754,0
14511,No,BROOKLYN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,4,0.9,2000,40.666259,100,57105,2064875.5,-73.900209,120.7,100,55324,0
14514,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,61,0.9,1972,40.746611,90,245252,2800040.1,-73.909736,96.4,100,203752,0
14515,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,92,0.4,2009,40.609634,0,30595,278464.2,-73.95336,50.2,0,25166,0.00E+00
14516,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,38,1,1968,40.754884,90,33490,561724.7,-73.829675,109.8,100,33490,0
14518,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,38,0.3,2007,40.745981,90,42375,1048368.7,-73.951918,56.3,90,39975,0
14519,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,1,1.7,1977,40.767308,100,492654,13110497.4,-73.95343,187.6,100,412088,0
14521,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,96,0,1969,40.767931,100,319204,7751207.6,-73.952974,30.7,100,272764,0
14526,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,65,0.8,1938,40.628875,100,68052,578697.7,-73.966957,84.6,100,68052,0
14528,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,70,0.8,1941,40.608488,100,67840,549675.2,-73.956029,81.7,100,67840,0
14529,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,75,0.7,1940,40.608816,100,54060,547924.9,-73.953036,75,100,54060,0
14540,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,50,0.8,1922,40.867029,100,36210,540637.2,-73.919045,90.6,100,36210,0
14546,No,QUEENS,Yes,Multifamily Housing,No,Whole Property,True,5,No specific resident population,88,0.6,1987,40.7569,100,115763,808590.1,-73.830442,64.1,100,105763,0
14549,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,92,0.5,1926,40.878501,90,47069,410304.9,-73.906454,55.1,100,47069,0
14550,Yes,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0.2,1928,40.758679,80,44962,237727.5,-73.82907,26.6,100,44962,0.00E+00
14552,No,BRONX,No,Multifamily Housing,No,Whole Property,True,15,No specific resident population,52,0.2,1927,40.84223,100,35700,1311843,-73.922158,56.3,100,34500,0
14553,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,41,0.9,1920,40.794489,0,36571,602861.2,-73.941688,94.6,100,36571,0
14555,No,MANHATTAN,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,77,0.6,1918,40.83674,90,28002,485230.1,-73.945478,77.4,100,28002,0
14557,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,97,0.4,1914,40.674147,90,35592,375736.9,-73.965622,46.1,90,35592,0
14561,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,68,0.2,1992,40.724481,100,49300,611506.5,-73.854055,73.3,100,49300,0
14563,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,1,1.1,1987,40.745916,100,25763,1159747.3,-73.884193,143.9,100,20652,0
14572,Yes,MANHATTAN,Yes,Multifamily Housing,No,Whole Property,True,15,No specific resident population,94,0.4,1920,40.722177,80,27571,336131.8,-73.99334,48,80,21571,0.00E+00
14573,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,17,0,1949,40.740922,100,36330,514516.6,-73.925773,145.7,100,36330,0
14581,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,92,0.3,2014,40.766906,90,181599,3754008.6,-73.934723,45.3,100,181599,0
14584,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,41,1,1922,40.602996,0,30000,313648.2,-73.992729,97.5,80,30000,0.00E+00
14585,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,6,1.2,1929,40.728653,0,32500,628812.8,-73.901022,123.6,20,32500,0
14586,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,35,0.8,1964,40.624448,100,154378,2208410.2,-73.970536,91.9,100,154378,0
14587,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,50,0.9,1920,40.706868,100,77670,893720.2,-73.834241,96.8,100,77670,0
14588,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,27,0.7,1924,40.846008,100,42426,1216437,-73.883957,91.1,100,42426,0
14592,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,100,0,2020,40.750062,100,28596,212741.7,-73.94107,7.5,100,28596,0.00E+00
14600,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,47,0.8,1922,40.670378,100,38471,500188.6,-73.956598,88.3,100,38471,0
14603,No,BRONX,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,75,0,1955,40.882337,90,81900,902726.8,-73.879059,66.2,100,81900,0
14604,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,73,0.4,1938,40.679778,100,72911,1251775.8,-73.991207,50.9,100,72911,0
14605,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,74,0.6,1924,40.695756,90,71380,762787.4,-73.993851,64.5,100,71380,0
14606,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,96,0.5,1920,40.675123,90,74945,622104.2,-73.973009,51.9,100,74945,0
14607,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,84,0.6,1943,40.724078,90,134043,1366206.8,-73.848525,70.3,100,123240,0
14611,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,48,0.7,1920,40.865858,90,39414,753480.5,-73.892997,85.6,100,37514,0
14612,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,57,0.8,1920,40.867207,90,43660,516601,-73.891408,91,100,43660,0
14613,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,73,0.4,1920,40.866684,90,30420,467689,-73.892461,71.9,100,30420,0
14614,No,BRONX,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,39,0.9,1920,40.867166,90,28290,459307.4,-73.891372,99.2,100,28290,0
14615,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,28,0.8,2000,40.656358,100,26000,1023793.8,-73.896559,113,100,26000,0
14627,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,65,0.8,1924,40.84112,100,54571,925647.8,-73.915893,94.1,100,54571,0.00E+00
14628,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,10,No specific resident population,67,0.7,1927,40.841331,100,104288,1805726.3,-73.915766,85.3,100,104288,0
14630,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,59,0.9,1928,40.842126,100,47084,813777.7,-73.914124,97.2,100,47084,0
14631,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,71,0.8,1928,40.843347,100,45582,724623.3,-73.914296,89.1,100,45582,0.00E+00
14632,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,7,0,1966,40.770611,0,128250,4873820.2,-73.956579,102.2,100,117350,0
14633,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,74,0.8,1928,40.841991,100,33750,358126.2,-73.914218,85.2,100,33750,0
