,Borough,number.of.energy.meters.cat,multifamily_pop_type,Metered.Areas.Energy,Property.Type,estimated_gas_usage,Occupancy100,estimated_electricity_usage,subsidized_housing,multifamily_cooled_area,energy_score,building_age,multifamily_heated_area,Latitude,green_electricity_percent,Longitude,energy_use,property_gfa,multifamily_gfa
13651,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,No,90.0,24.0,99.0,100.0,40.673993,0.0,-73.964905,105.3,33820.0,33820.0
13652,BROOKLYN,15,,Whole Property,Multifamily Housing,No,True,No,No,90.0,51.0,95.0,100.0,40.613921,0.0,-74.032481,81.8,40800.0,36720.0
13653,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,49.0,106.0,100.0,40.854993,0.0,-73.929872,116.6,37002.0,37002.0
13654,BRONX,10,,Whole Property,Multifamily Housing,No,True,No,No,100.0,97.0,60.0,100.0,40.907029,0.0,-73.896534,51.5,62560.0,62560.0
13655,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,77.0,101.0,100.0,40.851053,0.0,-73.938829,64.5,58642.0,51342.0
13656,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,35.0,8.0,100.0,40.748821,0.0,-73.975714,57.3,79582.0,73132.0
13657,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,52.0,96.0,100.0,40.85513,0.0,-73.93015,91.2,30140.0,30140.0
13658,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,43.0,94.0,100.0,40.836282,0.0,-73.91798,95.4,70000.0,70000.0
13659,BRONX,20,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,25.0,84.0,100.0,40.855011,0.0,-73.902796,105.9,60469.0,58897.0
13660,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,84.0,6.0,90.0,40.709486,0.0,-73.967032,34.4,492066.0,482567.0
13661,MANHATTAN,15,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,73.0,92.0,100.0,40.733022,0.0,-74.000278,65.3,94291.0,94291.0
